央视ʰ,#genre#
西藏卫视,http://60.205.114.16/live/xzws.m3u8?user=APTV66&line=2
西藏藏语卫视,http://60.205.114.16/live/xzzyws.m3u8?user=APTV66&line=2
CETV1,http://60.205.114.16/live/cetv1.m3u8?user=APTV66&line=2
CETV2,http://60.205.114.16/live/cetv2.m3u8?user=APTV66&line=2
CETV4,http://60.205.114.16/live/cetv4.m3u8?user=APTV66&line=2
北京纪实科教,http://60.205.114.16/live/bjjskj.m3u8?user=APTV66&line=2
纪实人文,http://60.205.114.16/live/shjsrw.m3u8?user=APTV66&line=2
动漫秀场,http://60.205.114.16/live/dmxc.m3u8?user=APTV66&line=2
哈哈炫动,http://60.205.114.16/live/hhxd.m3u8?user=APTV66&line=2
欢笑剧场,http://60.205.114.16/live/hxjc.m3u8?user=APTV66&line=2
欢笑剧场 4K,http://60.205.114.16/live/hxjc4k.m3u8?user=APTV66&line=2
都市剧场,http://60.205.114.16/live/dsjc.m3u8?user=APTV66&line=2
五星体育,http://60.205.114.16/live/wxty.m3u8?user=APTV66&line=2
劲爆体育,http://60.205.114.16/live/jbty.m3u8?user=APTV66&line=2
新视觉,http://60.205.114.16/live/xsj.m3u8?user=APTV66&line=2
游戏风云,http://60.205.114.16/live/yxfy.m3u8?user=APTV66&line=2
生活时尚,http://60.205.114.16/live/shss.m3u8?user=APTV66&line=2
金色学堂,http://60.205.114.16/live/jspd.m3u8?user=APTV66&line=2
乐游,http://60.205.114.16/live/qjs.m3u8?user=APTV66&line=2
魅力足球,http://60.205.114.16/live/mlzq.m3u8?user=APTV66&line=2
茶频道,http://60.205.114.16/live/cpd.m3u8?user=APTV66&line=2
快乐垂钓,http://60.205.114.16/live/klcd.m3u8?user=APTV66&line=2
金鹰纪实,http://60.205.114.16/live/jyjs.m3u8?user=APTV66&line=2
金鹰卡通,http://60.205.114.16/live/jykt.m3u8?user=APTV66&line=2
嘉佳卡通,http://60.205.114.16/live/jjkt.m3u8?user=APTV66&line=2
财富天下,http://60.205.114.16/live/cftx.m3u8?user=APTV66&line=2
中国天气,http://60.205.114.16/live/zgtq.m3u8?user=APTV66&line=2
上海新闻综合,http://60.205.114.16/live/shxwzh.m3u8?user=APTV66&line=2
上海都市,http://60.205.114.16/live/shds.m3u8?user=APTV66&line=2
上海ICS外语,http://60.205.114.16/live/shics.m3u8?user=APTV66&line=2
东方影视,http://60.205.114.16/live/dfys.m3u8?user=APTV66&line=2
七彩戏剧,http://60.205.114.16/live/qcxj.m3u8?user=APTV66&line=2
第一财经,http://60.205.114.16/live/dycj.m3u8?user=APTV66&line=2
法治天地,http://60.205.114.16/live/fztd.m3u8?user=APTV66&line=2
东方财经,http://60.205.114.16/live/dfcj.m3u8?user=APTV66&line=2
上海教育,http://60.205.114.16/live/shjy.m3u8?user=APTV66&line=2
东方购物,http://60.205.114.16/live/dfgw.m3u8?user=APTV66&line=2
浦东电视台,http://60.205.114.16/live/pdtv.m3u8?user=APTV66&line=2
福建综合,http://60.205.114.16/live/fjzh.m3u8?user=APTV66&line=2
福建新闻,http://60.205.114.16/live/fjxw.m3u8?user=APTV66&line=2
福建电视剧,http://60.205.114.16/live/fjdsj.m3u8?user=APTV66&line=2
福建文体,http://60.205.114.16/live/fjwt.m3u8?user=APTV66&line=2
福建少儿,http://60.205.114.16/live/fjse.m3u8?user=APTV66&line=2
福建旅游,http://60.205.114.16/live/fjly.m3u8?user=APTV66&line=2
福建经济,http://60.205.114.16/live/fjjj.m3u8?user=APTV66&line=2
福建公共,http://60.205.114.16/live/fjgg.m3u8?user=APTV66&line=2
福建教育,http://60.205.114.16/live/fjjy.m3u8?user=APTV66&line=2
看天下精选,http://60.205.114.16/live/ktxjx.m3u8?user=APTV66&line=2
华语影院,http://60.205.114.16/live/hyyy.m3u8?user=APTV66&line=2
电竞天堂,http://60.205.114.16/live/djtt.m3u8?user=APTV66&line=2
青春动漫,http://60.205.114.16/live/qcdm.m3u8?user=APTV66&line=2
星光影院,http://60.205.114.16/live/xgyy.m3u8?user=APTV66&line=2
谍战剧场,http://60.205.114.16/live/dzjc.m3u8?user=APTV66&line=2
全球大片,http://60.205.114.16/live/qqdp.m3u8?user=APTV66&line=2
热门剧场,http://60.205.114.16/live/rmjc.m3u8?user=APTV66&line=2
热门综艺,http://60.205.114.16/live/rmzy.m3u8?user=APTV66&line=2
戏曲精选,http://60.205.114.16/live/xqjx.m3u8?user=APTV66&line=2
健康养生,http://60.205.114.16/live/jkys.m3u8?user=APTV66&line=2
百变课堂,http://60.205.114.16/live/bbkt.m3u8?user=APTV66&line=2
宝宝动画,http://60.205.114.16/live/bbdh.m3u8?user=APTV66&line=2
百视通体育1,http://60.205.114.16/live/sport1.m3u8?user=APTV66&line=2
百视通体育2,http://60.205.114.16/live/sport2.m3u8?user=APTV66&line=2
百视通体育3,http://60.205.114.16/live/sport3.m3u8?user=APTV66&line=2
百视通体育4,http://60.205.114.16/live/sport4.m3u8?user=APTV66&line=2
百视通体育5,http://60.205.114.16/live/sport5.m3u8?user=APTV66&line=2
百视通体育6,http://60.205.114.16/live/sport6.m3u8?user=APTV66&line=2
百视通体育7,http://60.205.114.16/live/sport7.m3u8?user=APTV66&line=2
线路3ʰ,#genre#
CCTV-1 综合,http://60.205.114.16/live/cctv1.m3u8?user=APTV66&line=3
CCTV-2 财经,http://60.205.114.16/live/cctv2.m3u8?user=APTV66&line=3
CCTV-3 综艺,http://60.205.114.16/live/cctv3.m3u8?user=APTV66&line=3
